ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
51,A,Ship,4,1,183.0,3,low,M,37.0,2042.0,1
52,B,Ship,4,4,141.0,3,low,M,22.0,1735.0,1
53,C,Ship,4,3,165.0,3,low,F,44.0,1320.0,1
54,F,Ship,2,1,170.0,3,low,M,41.0,1128.0,1
55,D,Ship,4,3,203.0,3,high,M,12.0,3539.0,1
56,F,Ship,2,5,246.0,5,low,M,46.0,2437.0,1
57,A,Ship,3,3,238.0,3,low,F,61.0,3096.0,1
58,B,Ship,3,3,193.0,3,medium,F,29.0,3453.0,1
59,C,Ship,5,5,141.0,3,high,M,41.0,1367.0,1
60,F,Ship,4,1,150.0,3,high,F,17.0,1923.0,1
61,D,Ship,3,1,221.0,3,low,F,64.0,2794.0,1
62,F,Ship,3,3,179.0,3,medium,M,52.0,1158.0,1
63,A,Ship,5,1,105.0,6,medium,M,62.0,1292.0,1
64,B,Ship,3,1,177.0,3,medium,M,61.0,1880.0,1
65,C,Ship,4,5,261.0,2,high,M,49.0,3045.0,1
66,F,Ship,3,2,202.0,3,low,M,49.0,2881.0,1
67,D,Ship,3,2,109.0,3,medium,F,15.0,1710.0,1
68,F,Ship,3,3,158.0,3,low,F,6.0,1878.0,1
69,A,Ship,4,2,231.0,4,medium,F,6.0,2512.0,1
70,B,Ship,3,5,206.0,3,medium,M,39.0,2929.0,1
71,C,Ship,5,1,187.0,4,high,M,14.0,3849.0,1
72,F,Ship,5,5,230.0,2,low,F,2.0,2229.0,1
73,D,Ship,5,5,232.0,3,medium,F,33.0,2998.0,1
74,F,Ship,4,5,215.0,3,medium,F,21.0,3984.0,1
75,A,Ship,6,1,238.0,6,low,F,13.0,2442.0,1
76,B,Ship,4,1,266.0,3,low,F,23.0,3775.0,1
77,C,Ship,2,3,158.0,2,medium,F,36.0,1788.0,1
78,F,Ship,3,3,113.0,3,low,F,43.0,1518.0,1
79,D,Ship,3,4,223.0,3,low,M,18.0,3959.0,1
80,F,Ship,3,5,257.0,2,medium,F,56.0,3711.0,1
81,A,Ship,3,4,180.0,2,medium,F,49.0,1942.0,1
82,B,Ship,2,5,132.0,3,low,M,18.0,1759.0,1
83,C,Ship,4,4,217.0,3,high,F,26.0,2875.0,1
84,F,Ship,5,5,162.0,3,high,F,31.0,1364.0,1
85,D,Ship,4,5,197.0,2,medium,F,40.0,2710.0,1
86,F,Ship,3,4,197.0,3,medium,M,13.0,2148.0,1
87,A,Ship,4,1,185.0,2,low,M,44.0,2910.0,1
88,B,Ship,6,2,278.0,3,medium,F,3.0,2974.0,1
89,C,Ship,3,3,229.0,3,low,M,49.0,2339.0,1
90,F,Ship,4,1,186.0,4,medium,F,57.0,3880.0,1
91,D,Ship,5,3,174.0,6,high,F,41.0,1085.0,1
92,F,Ship,5,5,286.0,3,low,F,18.0,3163.0,1
93,A,Ship,4,4,175.0,2,medium,F,7.0,1188.0,1
94,B,Ship,3,3,219.0,3,medium,F,17.0,3387.0,1
95,C,Ship,4,1,213.0,4,high,F,35.0,2343.0,1
96,F,Ship,2,3,235.0,3,low,M,57.0,2034.0,1
97,D,Ship,3,3,149.0,2,medium,M,18.0,1225.0,1
98,F,Ship,4,1,271.0,2,medium,F,8.0,2401.0,1
99,A,Ship,3,5,144.0,4,medium,M,5.0,1104.0,1
100,B,Ship,4,2,145.0,2,medium,M,21.0,1617.0,1
101,C,Ship,5,3,143.0,2,medium,M,59.0,1837.0,1
102,F,Ship,5,5,227.0,4,low,M,53.0,2624.0,1
103,D,Ship,2,1,213.0,3,low,M,29.0,2732.0,1
104,F,Ship,5,1,144.0,4,low,M,37.0,1658.0,1
105,A,Ship,3,3,218.0,3,low,M,3.0,2255.0,1
106,B,Ship,4,2,144.0,3,medium,M,59.0,1588.0,1
107,C,Ship,3,1,238.0,3,low,M,17.0,2624.0,1
108,F,Ship,4,5,216.0,3,high,M,26.0,2053.0,1
109,D,Ship,4,5,238.0,3,high,F,55.0,3257.0,1
110,F,Ship,4,1,141.0,3,medium,M,47.0,1250.0,1
111,A,Road,3,1,158.0,2,low,M,2.0,1284.0,1
112,B,Road,4,2,239.0,3,low,F,65.0,3679.0,1
113,C,Road,4,3,175.0,2,low,M,25.0,1816.0,1
114,F,Road,3,2,263.0,3,low,M,41.0,2817.0,1
115,D,Road,3,5,168.0,2,high,M,50.0,1616.0,1
116,F,Road,3,4,176.0,3,high,M,36.0,1779.0,1
117,A,Road,4,1,150.0,4,high,M,60.0,1024.0,1
118,B,Road,4,3,265.0,2,medium,F,31.0,2326.0,1
119,C,Road,2,5,263.0,3,low,F,5.0,2947.0,1
120,F,Road,5,1,145.0,3,low,M,20.0,1387.0,1
121,D,Road,4,2,183.0,3,low,F,33.0,2741.0,1
122,F,Road,3,3,205.0,3,medium,F,19.0,2167.0,1
123,A,Road,4,2,160.0,3,low,M,64.0,1714.0,1
124,B,Road,3,3,252.0,2,medium,F,48.0,2102.0,1
125,C,Road,5,5,222.0,3,low,M,10.0,2280.0,1
126,F,Road,3,3,203.0,2,low,M,25.0,3607.0,1
127,D,Road,4,5,220.0,3,medium,M,40.0,3516.0,1
128,F,Road,3,3,147.0,4,low,F,60.0,1722.0,1
129,A,Road,4,4,200.0,4,medium,M,16.0,2060.0,1
130,B,Road,4,5,224.0,4,medium,M,21.0,2026.0,1
131,C,Road,3,5,179.0,2,low,F,17.0,1364.0,1
132,F,Road,3,4,144.0,3,low,M,50.0,1865.0,1
133,D,Flight,5,2,247.0,3,low,M,17.0,3889.0,1
134,F,Flight,5,4,280.0,6,medium,F,51.0,3582.0,1
135,A,Flight,3,3,168.0,2,medium,F,1.0,1829.0,1
136,B,Flight,3,5,157.0,3,medium,F,4.0,1889.0,1
137,C,Flight,3,3,189.0,4,medium,F,51.0,2208.0,1
138,F,Flight,3,5,162.0,2,medium,M,7.0,1739.0,1
139,D,Flight,4,1,207.0,5,low,M,48.0,2399.0,1
140,F,Flight,5,1,237.0,2,low,F,10.0,3860.0,1
141,A,Flight,4,4,264.0,3,high,M,59.0,2020.0,1
142,B,Flight,5,4,149.0,3,low,M,51.0,1645.0,1
143,C,Flight,5,5,162.0,3,low,M,41.0,1462.0,1
144,F,Flight,2,1,205.0,4,medium,F,63.0,2156.0,1
145,D,Flight,2,1,158.0,3,medium,F,51.0,1540.0,1
146,F,Flight,2,2,248.0,2,low,M,46.0,3707.0,1
147,A,Flight,3,5,191.0,3,low,M,23.0,3750.0,1
148,B,Flight,4,3,146.0,4,medium,F,24.0,1844.0,1
149,C,Flight,3,3,135.0,3,low,M,56.0,1490.0,1
150,F,Flight,5,1,149.0,3,low,M,40.0,1062.0,1
151,D,Flight,4,4,220.0,2,medium,F,7.0,2551.0,1
152,F,Flight,5,3,98.0,5,medium,M,44.0,1269.0,1
153,A,Flight,3,4,97.0,4,low,M,32.0,1238.0,1
154,B,Flight,3,3,183.0,2,low,M,53.0,3932.0,1
155,C,Ship,3,3,162.0,3,medium,F,8.0,1869.0,1
156,F,Ship,5,1,114.0,4,low,F,47.0,1443.0,1
157,D,Ship,6,3,275.0,5,low,M,41.0,2491.0,1
158,F,Ship,3,2,203.0,2,medium,F,39.0,3845.0,1
159,A,Ship,5,5,205.0,2,high,M,65.0,3671.0,1
160,B,Ship,3,3,149.0,3,low,F,63.0,1946.0,1
161,C,Ship,2,2,112.0,4,medium,M,56.0,1138.0,1
162,F,Ship,3,1,207.0,3,medium,F,56.0,3482.0,1
163,D,Ship,4,1,261.0,4,low,F,58.0,3427.0,1
164,F,Ship,5,2,274.0,3,medium,M,6.0,3375.0,1
165,A,Ship,3,5,141.0,2,low,M,52.0,1692.0,1
166,B,Ship,3,3,166.0,4,medium,F,17.0,1498.0,1
167,C,Ship,5,2,141.0,3,high,F,34.0,1020.0,1
168,F,Ship,4,5,152.0,3,low,M,43.0,1709.0,1
169,D,Ship,4,2,250.0,3,low,F,53.0,2478.0,1
170,F,Ship,4,3,161.0,3,medium,F,28.0,1809.0,1
171,A,Ship,4,3,185.0,3,medium,F,10.0,2263.0,1
172,B,Ship,4,4,176.0,4,high,F,52.0,1096.0,1
173,C,Ship,3,4,148.0,3,low,M,56.0,1550.0,1
174,F,Ship,3,2,270.0,3,low,F,63.0,2751.0,1
175,D,Ship,3,3,242.0,3,low,F,51.0,3935.0,1
176,F,Ship,4,4,150.0,2,medium,M,3.0,1285.0,1
177,A,Ship,4,5,192.0,3,high,M,20.0,3872.0,1
178,B,Ship,4,5,116.0,3,medium,M,54.0,1314.0,1
179,C,Ship,3,3,192.0,3,medium,F,2.0,3995.0,1
180,F,Ship,5,5,255.0,4,medium,M,3.0,3440.0,1
181,D,Ship,4,1,161.0,7,medium,F,18.0,1294.0,1
182,F,Ship,4,5,157.0,3,low,M,20.0,1487.0,1
183,A,Ship,3,2,164.0,10,high,F,28.0,1940.0,1
184,B,Ship,3,5,162.0,7,medium,F,16.0,1052.0,1
185,C,Ship,3,3,146.0,2,low,M,50.0,1486.0,1
186,F,Ship,3,2,209.0,3,medium,M,54.0,3001.0,1
187,D,Ship,5,4,134.0,2,medium,F,55.0,1386.0,1
188,F,Ship,2,1,222.0,2,medium,M,5.0,3778.0,1
189,A,Ship,2,5,139.0,3,low,F,27.0,1233.0,1
190,B,Ship,2,4,134.0,3,low,F,42.0,1415.0,1
191,C,Ship,2,5,130.0,3,low,M,16.0,1092.0,1
192,F,Ship,2,5,133.0,3,low,F,62.0,1596.0,1
193,D,Ship,2,4,140.0,3,low,F,7.0,1411.0,1
194,F,Ship,2,2,158.0,3,low,M,28.0,1968.0,1
195,A,Ship,4,2,270.0,4,low,F,46.0,1736.0,1
196,B,Ship,2,5,140.0,3,low,F,30.0,1030.0,1
197,C,Ship,2,2,135.0,3,low,M,15.0,1339.0,1
198,F,Ship,2,3,136.0,3,low,F,19.0,1568.0,1
199,D,Ship,2,3,142.0,3,medium,F,38.0,7640.0,1
200,F,Ship,2,2,154.0,3,medium,M,38.0,7846.0,1
201,A,Ship,2,3,139.0,3,low,M,9.0,1471.0,1
202,B,Ship,2,3,160.0,3,low,F,43.0,1251.0,1
203,C,Ship,2,4,134.0,3,low,M,58.0,1067.0,1
204,F,Ship,5,3,161.0,5,high,M,48.0,1883.0,1
205,D,Ship,2,5,155.0,3,low,M,23.0,1602.0,1
206,F,Ship,2,3,145.0,3,medium,F,24.0,7588.0,1
207,A,Ship,2,2,157.0,3,low,M,1.0,1477.0,1
208,B,Ship,2,2,160.0,3,low,M,48.0,1691.0,1
209,C,Ship,2,4,152.0,3,low,M,55.0,1498.0,1
210,F,Ship,2,5,148.0,3,high,F,11.0,1502.0,1
211,D,Ship,2,1,127.0,3,low,F,15.0,1522.0,1
212,F,Ship,2,5,154.0,3,low,F,21.0,1113.0,1
213,A,Ship,2,5,127.0,3,low,M,44.0,1341.0,1
214,B,Ship,2,5,160.0,3,medium,F,31.0,7401.0,1
215,C,Ship,2,4,129.0,3,low,F,48.0,1219.0,1
216,F,Ship,2,5,158.0,3,low,F,40.0,1722.0,1
217,D,Ship,4,3,185.0,3,medium,M,3.0,3131.0,1
218,F,Ship,4,4,176.0,4,high,F,63.0,1293.0,1
219,A,Ship,3,4,148.0,3,low,M,37.0,1523.0,1
220,B,Ship,3,5,270.0,3,low,M,60.0,3885.0,1
221,C,Ship,3,4,242.0,3,low,M,29.0,2381.0,1
222,F,Ship,4,3,150.0,2,medium,M,31.0,1588.0,1
223,D,Ship,4,2,192.0,3,high,M,4.0,2061.0,1
224,F,Ship,4,5,116.0,3,medium,F,9.0,1314.0,1
225,A,Ship,3,4,192.0,3,medium,F,31.0,3331.0,1
226,B,Ship,5,4,255.0,4,medium,F,38.0,2771.0,1
227,C,Ship,4,3,161.0,7,medium,M,63.0,1496.0,1
228,F,Ship,4,2,157.0,3,low,F,48.0,1393.0,1
229,D,Ship,3,2,164.0,10,high,M,14.0,1375.0,1
230,F,Ship,3,3,162.0,7,medium,F,42.0,1278.0,1
231,A,Ship,3,1,146.0,2,low,F,54.0,1528.0,1
232,B,Ship,3,4,209.0,3,medium,F,60.0,2240.0,1
233,C,Ship,5,5,134.0,2,medium,M,53.0,1088.0,1
234,F,Ship,2,1,222.0,2,medium,M,58.0,3626.0,1
235,D,Ship,2,1,139.0,3,low,F,39.0,1582.0,1
236,F,Ship,2,2,134.0,3,low,M,38.0,1352.0,1
237,A,Ship,2,3,130.0,3,low,F,48.0,1801.0,1
238,B,Ship,2,2,133.0,3,low,M,5.0,1268.0,1
239,C,Ship,2,3,140.0,3,low,F,23.0,1372.0,1
240,F,Ship,2,3,158.0,3,low,M,10.0,1515.0,1
241,D,Ship,4,5,270.0,4,low,M,65.0,1818.0,1
242,F,Ship,2,4,140.0,3,low,F,33.0,1278.0,1
243,A,Ship,2,2,135.0,3,low,M,58.0,1734.0,1
244,B,Ship,2,4,136.0,3,low,M,43.0,1958.0,1
245,C,Ship,2,1,142.0,3,medium,F,8.0,6064.0,1
246,F,Ship,2,4,154.0,3,medium,F,48.0,7684.0,1
247,D,Ship,2,3,139.0,3,low,F,3.0,1788.0,1
248,F,Road,2,4,160.0,3,low,F,50.0,1030.0,1
249,A,Road,2,2,134.0,3,low,F,38.0,1530.0,1
250,B,Road,5,5,161.0,5,high,F,54.0,1511.0,1
251,C,Road,2,3,155.0,3,low,F,45.0,1639.0,1
252,F,Road,2,2,145.0,3,medium,F,5.0,6102.0,1
253,D,Road,2,1,157.0,3,low,M,58.0,1930.0,1
254,F,Road,2,5,160.0,3,low,F,19.0,1399.0,1
255,A,Road,2,2,152.0,3,low,F,61.0,1800.0,1
256,B,Road,2,2,148.0,3,high,F,35.0,1349.0,1
257,C,Road,2,2,127.0,3,low,M,13.0,1128.0,1
258,F,Road,2,2,129.0,3,medium,F,22.0,6614.0,1
259,D,Road,2,3,158.0,3,low,F,13.0,1245.0,1
260,F,Road,2,4,147.0,3,low,M,5.0,1920.0,1
261,A,Road,2,5,159.0,3,low,F,49.0,1621.0,1
262,B,Road,2,3,151.0,3,low,F,23.0,1930.0,1
263,C,Road,3,1,294.0,4,low,F,52.0,1089.0,1
264,F,Road,3,2,226.0,2,medium,M,45.0,1446.0,1
265,D,Road,5,3,271.0,5,high,M,9.0,1813.0,1
266,F,Road,7,2,203.0,5,medium,F,61.0,1856.0,1
267,A,Road,2,3,264.0,4,low,F,10.0,1648.0,1
268,B,Road,4,1,258.0,3,medium,M,36.0,2211.0,1
269,C,Road,3,5,241.0,3,low,F,21.0,3078.0,1
270,F,Flight,4,5,208.0,3,medium,M,23.0,2056.0,1
271,D,Flight,3,2,209.0,5,medium,F,12.0,3054.0,1
272,F,Flight,5,1,182.0,2,medium,F,23.0,2707.0,1
273,A,Flight,4,5,148.0,2,medium,F,43.0,1087.0,1
274,B,Flight,2,3,183.0,2,medium,F,52.0,3199.0,1
275,C,Flight,3,5,229.0,6,medium,M,22.0,2717.0,1
276,F,Flight,5,5,115.0,5,low,F,26.0,1692.0,1
277,D,Flight,4,2,136.0,3,low,F,65.0,1962.0,1
278,F,Flight,4,4,212.0,3,low,M,21.0,3307.0,1
279,A,Flight,4,3,171.0,3,low,F,24.0,1304.0,1
280,B,Flight,3,1,151.0,2,low,M,60.0,1925.0,1
281,C,Flight,3,1,205.0,3,medium,M,39.0,3062.0,1
282,F,Flight,5,4,147.0,3,medium,M,23.0,1132.0,1
283,D,Flight,3,3,155.0,3,low,F,29.0,1712.0,1
284,F,Flight,5,4,165.0,3,low,F,20.0,1150.0,1
285,A,Flight,5,5,230.0,3,low,F,32.0,3249.0,1
286,B,Flight,2,4,181.0,4,medium,M,13.0,2309.0,1
287,C,Flight,5,3,234.0,2,low,F,55.0,3308.0,1
288,F,Flight,4,4,149.0,3,low,M,34.0,1977.0,1
289,D,Flight,5,5,156.0,2,low,M,44.0,1561.0,1
290,F,Flight,4,2,172.0,3,medium,F,59.0,1858.0,1
291,A,Flight,4,4,270.0,3,low,M,12.0,3279.0,1
292,B,Ship,4,1,206.0,3,medium,M,23.0,3807.0,1
293,C,Ship,4,3,211.0,4,medium,M,40.0,3106.0,1
294,F,Ship,3,2,136.0,4,low,M,62.0,1090.0,1
295,D,Ship,5,1,186.0,2,high,F,52.0,3981.0,1
296,F,Ship,3,1,202.0,2,medium,M,62.0,3398.0,1
297,A,Ship,4,2,183.0,3,medium,F,12.0,3646.0,1
298,B,Ship,4,4,232.0,2,low,M,36.0,2861.0,1
299,C,Ship,4,2,147.0,4,medium,M,52.0,1129.0,1
300,F,Ship,4,3,136.0,3,medium,M,20.0,1531.0,1
301,D,Ship,5,3,127.0,3,low,F,43.0,1446.0,1
302,F,Ship,4,5,202.0,2,medium,M,35.0,3695.0,1
303,A,Ship,3,4,241.0,2,low,M,57.0,3671.0,1
304,B,Ship,4,3,222.0,2,medium,M,55.0,3833.0,1
305,C,Ship,3,2,183.0,4,medium,F,12.0,2777.0,1
306,F,Ship,4,4,249.0,3,medium,F,36.0,3769.0,1
307,D,Ship,3,1,243.0,4,high,M,59.0,3838.0,1
308,F,Ship,3,3,163.0,3,medium,M,9.0,1257.0,1
309,A,Ship,4,2,165.0,2,high,M,11.0,1596.0,1
310,B,Ship,5,5,266.0,3,medium,F,53.0,3089.0,1
311,C,Ship,3,4,193.0,2,medium,M,48.0,3909.0,1
312,F,Ship,3,2,154.0,3,low,F,56.0,1136.0,1
313,D,Ship,3,3,140.0,3,medium,M,51.0,1046.0,1
314,F,Ship,4,3,272.0,3,medium,M,38.0,3705.0,1
315,A,Ship,4,2,143.0,6,medium,M,20.0,1654.0,1
316,B,Ship,4,2,138.0,3,low,F,30.0,1805.0,1
317,C,Ship,4,2,238.0,2,high,M,17.0,3358.0,1
318,F,Ship,4,5,273.0,4,medium,F,31.0,2373.0,1
319,D,Ship,3,1,200.0,2,medium,M,27.0,2551.0,1
320,F,Ship,4,5,213.0,4,low,M,39.0,2381.0,1
321,A,Ship,3,4,224.0,2,medium,F,15.0,2701.0,1
322,B,Ship,4,5,141.0,3,medium,M,12.0,1672.0,1
323,C,Ship,3,3,150.0,3,low,M,46.0,1040.0,1
324,F,Ship,3,1,192.0,2,low,M,33.0,2818.0,1
325,D,Ship,5,1,279.0,4,medium,F,24.0,3440.0,1
326,F,Ship,3,4,246.0,3,medium,M,30.0,3748.0,1
327,A,Ship,3,4,173.0,3,medium,M,52.0,1587.0,1
328,B,Ship,4,4,233.0,4,medium,F,59.0,2358.0,1
329,C,Ship,5,1,274.0,2,medium,M,24.0,2423.0,1
330,F,Ship,4,5,243.0,4,medium,F,41.0,2782.0,1
331,D,Ship,3,4,197.0,3,medium,F,56.0,3427.0,1
332,F,Ship,4,3,140.0,3,high,F,46.0,1072.0,1
333,A,Ship,3,5,215.0,3,medium,F,22.0,2585.0,1
334,B,Ship,3,4,211.0,3,medium,M,8.0,3710.0,1
335,C,Ship,4,2,220.0,5,low,M,33.0,2854.0,1
336,F,Ship,3,1,194.0,4,low,M,64.0,2026.0,1
337,D,Ship,5,1,262.0,3,medium,F,58.0,3599.0,1
338,F,Ship,4,4,201.0,2,low,F,1.0,3147.0,1
339,A,Ship,3,5,261.0,3,medium,M,15.0,2989.0,1
340,B,Ship,4,4,191.0,6,low,F,60.0,3425.0,1
341,C,Ship,2,5,255.0,5,medium,F,53.0,3775.0,1
342,F,Ship,3,2,169.0,2,high,M,30.0,1698.0,1
343,D,Ship,4,5,162.0,2,medium,M,64.0,1918.0,1
344,F,Ship,2,5,248.0,6,low,F,62.0,2750.0,1
345,A,Ship,5,3,197.0,4,low,F,2.0,2222.0,1
346,B,Ship,5,1,264.0,3,low,M,6.0,2882.0,1
347,C,Ship,5,5,260.0,2,medium,F,55.0,2791.0,1
348,F,Ship,5,3,186.0,2,medium,F,58.0,2259.0,1
349,D,Ship,4,5,233.0,4,low,F,44.0,2551.0,1
350,F,Ship,5,1,161.0,3,low,M,47.0,1954.0,1
351,A,Ship,4,5,188.0,3,low,F,13.0,2409.0,1
352,B,Ship,5,5,171.0,2,medium,F,22.0,1695.0,1
353,C,Ship,2,2,267.0,3,medium,M,15.0,2481.0,1
354,F,Ship,4,3,255.0,2,high,M,47.0,2956.0,1
355,D,Ship,3,2,132.0,3,low,F,56.0,1303.0,1
356,F,Ship,5,1,266.0,3,low,F,31.0,3157.0,1
357,A,Ship,3,4,198.0,2,low,M,25.0,2774.0,1
358,B,Ship,2,3,247.0,2,medium,F,62.0,3127.0,1
359,C,Ship,3,1,140.0,3,medium,F,65.0,1291.0,1
360,F,Ship,4,3,131.0,5,low,M,6.0,1659.0,1
361,D,Ship,5,2,246.0,3,medium,M,49.0,3236.0,1
362,F,Ship,3,2,159.0,3,medium,F,4.0,1681.0,1
363,A,Ship,3,5,203.0,2,medium,M,61.0,3642.0,1
364,B,Ship,4,3,187.0,4,high,F,29.0,3141.0,1
365,C,Ship,6,2,146.0,3,low,F,62.0,1936.0,1
366,F,Ship,3,2,234.0,3,medium,M,39.0,2099.0,1
367,D,Ship,3,4,122.0,3,high,F,15.0,1354.0,1
368,F,Ship,3,3,135.0,3,low,M,8.0,1074.0,1
369,A,Ship,3,5,103.0,3,low,M,3.0,1403.0,1
370,B,Ship,3,5,257.0,3,medium,F,19.0,2173.0,1
371,C,Ship,4,3,169.0,2,low,M,2.0,1399.0,1
372,F,Ship,4,5,159.0,3,medium,M,18.0,1808.0,1
373,D,Ship,4,5,188.0,3,low,M,38.0,3031.0,1
374,F,Ship,5,1,136.0,3,medium,M,19.0,1420.0,1
375,A,Ship,5,1,227.0,3,low,F,19.0,3007.0,1
376,B,Ship,3,5,262.0,2,low,F,53.0,3275.0,1
377,C,Ship,2,3,157.0,2,low,M,45.0,1965.0,1
378,F,Ship,5,3,238.0,2,medium,F,21.0,2053.0,1
379,D,Ship,3,5,152.0,3,low,M,43.0,1282.0,1
380,F,Ship,3,2,201.0,3,medium,M,5.0,2040.0,1
381,A,Ship,3,4,148.0,2,low,M,54.0,1778.0,1
382,B,Ship,5,2,199.0,4,low,F,59.0,2885.0,1
383,C,Ship,5,4,215.0,2,low,F,45.0,3501.0,1
384,F,Ship,4,5,175.0,2,low,M,40.0,1270.0,1
385,D,Road,4,3,236.0,2,high,M,23.0,3123.0,1
386,F,Road,2,5,182.0,2,medium,F,57.0,2896.0,1
387,A,Road,3,1,251.0,3,medium,M,42.0,3698.0,1
388,B,Road,5,2,173.0,3,low,F,7.0,1855.0,1
389,C,Road,4,3,225.0,3,low,F,62.0,2587.0,1
390,F,Road,4,2,167.0,4,low,F,20.0,1705.0,1
391,D,Road,4,1,259.0,3,low,M,20.0,2154.0,1
392,F,Road,4,1,178.0,3,medium,F,63.0,1573.0,1
393,A,Road,4,4,178.0,4,medium,F,13.0,1614.0,1
394,B,Road,5,4,169.0,2,low,F,20.0,1765.0,1
395,C,Road,3,2,272.0,2,low,M,33.0,2321.0,1
396,F,Road,4,4,183.0,3,low,M,29.0,3251.0,1
397,D,Road,3,4,205.0,3,low,F,10.0,2728.0,1
398,F,Road,2,1,123.0,4,low,F,53.0,1036.0,1
399,A,Road,4,3,152.0,3,low,M,58.0,1453.0,1
400,B,Road,3,1,220.0,2,high,F,40.0,3773.0,1
401,C,Road,4,3,134.0,3,low,M,51.0,1965.0,1
402,F,Road,3,2,217.0,2,high,M,19.0,2992.0,1
403,D,Road,3,2,265.0,3,low,F,49.0,2791.0,1
404,F,Road,4,2,249.0,5,medium,M,36.0,3836.0,1
405,A,Road,5,3,213.0,4,medium,F,50.0,2003.0,1
406,B,Road,2,2,124.0,3,low,F,56.0,1494.0,1
407,C,Flight,4,1,180.0,2,low,M,23.0,1193.0,1
408,F,Flight,4,5,193.0,3,medium,M,65.0,2267.0,1
409,D,Flight,3,2,192.0,3,medium,M,43.0,3339.0,1
410,F,Flight,2,5,166.0,3,medium,M,3.0,1832.0,1
411,A,Flight,3,2,264.0,3,medium,M,5.0,3861.0,1
412,B,Flight,3,4,200.0,2,medium,M,14.0,3528.0,1
413,C,Flight,4,3,142.0,4,medium,M,12.0,1396.0,1
414,F,Flight,4,1,215.0,2,low,M,32.0,3066.0,1
415,D,Flight,2,1,218.0,2,low,M,15.0,2745.0,1
